date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2011-01-21,15.81,15.93,15.15,14.86,1107220.38,-0.84,-5.25,15.956,16.274,16.942,1247181.25,1316874.5,1732622.46
2011-01-14,16.23,16.55,15.99,15.88,1248931.88,-0.42,-2.56,16.196,16.478,17.073,1264371.95,1512079.36,1790195.01
2011-01-07,15.82,16.78,16.41,15.65,1573316.75,0.62,3.93,16.266,16.772,17.149,1220383.6,1713116.57,1755289.99
2010-12-31,16.62,16.73,15.79,15.51,1230215.0,-0.65,-3.95,16.298,16.972,17.234,1105168.25,1758669.54,1766256.28
2010-12-24,16.39,16.65,16.44,15.99,1076222.25,0.09,0.55,16.478,17.245,17.31,1183369.37,1984423.06,1727170.16
2010-12-17,16.35,16.8,16.35,16.26,1193173.88,0.01,0.06,16.592,17.516,17.346,1386567.75,2311828.24,1743468.61
2010-12-10,16.6,16.88,16.34,16.1,1028990.12,-0.23,-1.39,16.76,17.603,17.393,1759786.77,2246182.44,1741915.0
2010-12-03,16.59,16.88,16.57,16.18,997240.0,-0.12,-0.72,17.278,17.591,17.48,2205849.55,2208116.83,1753846.19
2010-11-26,16.8,17.12,16.69,16.25,1621220.62,-0.32,-1.88,17.646,17.595,17.543,2412170.82,2141560.74,1773181.69
2010-11-19,17.25,17.32,17.01,16.51,2092214.12,-0.18,-1.05,18.012,17.591,17.626,2785476.75,2136221.48,1807237.13
2010-11-12,18.97,19.39,17.19,17.13,3059269.0,-1.74,-9.19,18.44,17.61,17.688,3237088.73,2148370.42,1804403.73
2010-11-05,18.49,19.31,18.93,18.35,3259304.0,0.52,2.83,18.446,17.667,17.857,2732578.1,2068310.67,1736377.51
2010-10-29,18.55,19.25,18.41,18.26,2028846.38,-0.11,-0.59,17.904,17.525,17.918,2210384.1,1797463.41,1705604.96
2010-10-22,19.4,20.06,18.52,18.33,3487750.25,-0.63,-3.29,17.544,17.495,18.098,1870950.66,1773843.02,1700127.42
2010-10-15,17.32,19.38,19.15,17.32,4350274.0,1.93,11.21,17.17,17.375,18.305,1486966.21,1469917.25,1586926.32
2010-10-08,16.7,17.34,17.22,16.5,536715.88,1.0,6.17,16.78,17.175,18.519,1059652.11,1175108.99,1444603.38
2010-09-29,16.64,16.75,16.22,16.11,648334.0,-0.39,-2.35,16.888,17.183,18.799,1404043.23,1237647.56,1465523.8
2010-09-21,16.67,16.94,16.61,16.51,331679.16,-0.04,-0.24,17.146,17.369,19.14,1384542.71,1299575.56,1481785.36
2010-09-17,17.21,17.4,16.65,16.55,1567828.0,-0.55,-3.2,17.446,17.49,19.455,1676735.38,1404802.63,1543739.63
2010-09-10,17.86,18.39,17.2,17.0,2213703.5,-0.56,-3.15,17.58,17.66,19.786,1452868.29,1478252.78,1547194.32
2010-09-03,19.0,19.0,17.76,17.67,2258671.5,0.25,1.43,17.57,17.766,20.049,1290565.86,1460437.04,1508166.22
2010-06-29,18.05,18.6,17.51,17.5,550831.38,-0.6,-3.31,17.478,18.046,20.283,1071251.89,1404444.36,1447028.68
2010-06-25,17.31,18.82,18.11,17.31,1792642.5,0.79,4.56,17.592,18.311,20.508,1214608.41,1613746.52,1504409.08
2010-06-18,17.19,17.75,17.32,17.15,448492.56,0.17,0.99,17.534,18.701,20.687,1132869.89,1626411.82,1495038.94
